Field,Transect,Trans sample,Replicate 2004,Replicate 2008,JohnGr 2004,JohnGr 2008,Tree 2004,Tree 2008,Bare 2004,T/acs 2008,A/acs 2008,LiBl 2004,LiBl 2008,BiBl 2004,BiBl 2008,Ind 2004,Ind 2008,Swit 2004,Swit 2008,EaGa 2004,EaGa 2008,Any 5 2004,Any 5 2008,2004 # of big five per sample point
FM2,5,1,39,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM2,5,2,40,,0,th,0,th,0,th,th,0,0,0,0,0,0,0,th,0,0,0,0,0
FM2,5,3,,,nd,th,nd,th,nd,th,th,nd,th,nd,th,nd,th,nd,th,nd,th,nd,nd,nd
FM2,5,4,41,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM2,5,5,42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,5,6,43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,5,7,44,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,5,8,45,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FM2,5,9,46,,0,0,0,0,0,0,0,0,nd,0,nd,0,nd,0,0,0,nd,0,nd,0
FM3,-2,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,3,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,6,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,7,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-2,8,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-1,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-1,2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-1,3,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-1,4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,-1,5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,3,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,4,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,6,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,7,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,8,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,9,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,0,10,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
FM3,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM3,1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM3,1,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM3,1,4,4,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
FM3,1,5,5,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
FM3,1,6,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FM3,1,7,7,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FM3,2,1,8,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
